                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5445,                  4.023,                 1.5623,                0.65855,                0.43199,                0.56005,                0.30896,                 1.7254,                 1.4489,                 1.6716,             0.00033053,             0.00033053,             0.00033053
                      2,                 1.2514,                 1.5214,                 1.3482,                0.65674,                0.36092,                0.43103,                0.29308,                 1.3176,                 3.5949,                 1.4116,             0.00065729,             0.00065729,             0.00065729
                      3,                 1.2415,                 1.3678,                  1.356,                0.93744,                 0.5533,                0.61013,                0.34984,                 1.6476,                 1.3174,                 1.6992,             0.00097745,             0.00097745,             0.00097745
                      4,                  1.186,                  1.243,                 1.3191,                0.67148,                0.25348,                0.32239,                0.21653,                 2.1961,                  2.702,                 2.2922,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.1418,                 1.1448,                 1.2698,                0.67465,                 0.6032,                0.66819,                0.49464,                  1.194,                 0.9645,                 1.3478,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.0925,                 1.1179,                 1.2592,                0.84608,                0.70378,                0.94019,                0.66042,                  1.208,                 1.0331,                 1.2638,              0.0009505,              0.0009505,              0.0009505
                      7,                  1.058,                 1.0257,                 1.2302,                0.65223,                0.98505,                0.84141,                 0.6399,                0.96267,                 0.8653,                 1.1387,              0.0009406,              0.0009406,              0.0009406
                      8,                0.99225,                0.96285,                 1.1906,                0.78335,                0.73239,                0.81998,                0.63077,                 1.0896,                0.86064,                 1.2232,              0.0009307,              0.0009307,              0.0009307
                      9,                0.95308,                0.92298,                 1.1686,                 0.7124,                 0.6486,                 0.8915,                0.69213,                 1.0002,                0.85889,                 1.1515,              0.0009208,              0.0009208,              0.0009208
                     10,                0.95117,                0.89267,                 1.1656,                0.87448,                0.70695,                0.94856,                0.73868,                  1.157,                0.71877,                 1.3302,              0.0009109,              0.0009109,              0.0009109
                     11,                0.90996,                0.85667,                 1.1351,                0.95654,                0.72332,                0.98795,                0.78718,                 1.1062,                0.73048,                  1.247,               0.000901,               0.000901,               0.000901
                     12,                0.89547,                0.82648,                 1.1206,                0.61772,                0.92829,                0.93951,                0.74057,                 1.0712,                0.63979,                 1.2754,              0.0008911,              0.0008911,              0.0008911
                     13,                0.88141,                0.85814,                 1.1288,                0.96679,                0.71328,                0.97983,                0.74269,                 1.1071,                 0.7424,                 1.2943,              0.0008812,              0.0008812,              0.0008812
                     14,                0.89693,                0.82699,                 1.1302,                0.94945,                0.72153,                0.98491,                0.78109,                0.91568,                0.62154,                 1.1505,              0.0008713,              0.0008713,              0.0008713
                     15,                0.87754,                0.81758,                  1.111,                0.98635,                0.69305,                0.97469,                0.75649,                0.94901,                0.71925,                 1.1448,              0.0008614,              0.0008614,              0.0008614
                     16,                 0.8421,                0.77897,                 1.0937,                0.91179,                0.68999,                0.97141,                0.77368,                 1.0617,                0.69249,                 1.2695,              0.0008515,              0.0008515,              0.0008515
                     17,                0.81249,                0.74564,                 1.0692,                0.99251,                0.72366,                0.98996,                0.76379,                 1.0534,                0.62277,                 1.2511,              0.0008416,              0.0008416,              0.0008416
                     18,                0.80519,                0.72046,                 1.0656,                0.97563,                0.66478,                0.97674,                0.80145,                 1.0649,                0.58967,                 1.2748,              0.0008317,              0.0008317,              0.0008317
                     19,                0.81152,                0.71194,                 1.0545,                0.89966,                0.70774,                0.98835,                0.73795,                 1.0313,                0.63692,                 1.2015,              0.0008218,              0.0008218,              0.0008218
                     20,                0.78894,                0.72233,                 1.0578,                0.81088,                0.95946,                0.97877,                 0.8128,                 1.0373,                0.76201,                 1.2406,              0.0008119,              0.0008119,              0.0008119
                     21,                0.79275,                0.69612,                 1.0542,                0.78158,                0.97701,                0.98259,                0.80647,                0.94287,                0.52621,                 1.2138,               0.000802,               0.000802,               0.000802
                     22,                0.77692,                0.68972,                 1.0534,                0.98258,                 0.7233,                0.86276,                0.71093,                0.95649,                0.61129,                 1.1763,              0.0007921,              0.0007921,              0.0007921
                     23,                0.75875,                0.64843,                 1.0346,                0.94988,                0.73534,                 0.9937,                0.81615,                0.96453,                0.55282,                   1.16,              0.0007822,              0.0007822,              0.0007822
                     24,                0.75323,                0.64974,                 1.0359,                0.92765,                0.70802,                0.97018,                0.77322,                0.91709,                0.63162,                   1.17,              0.0007723,              0.0007723,              0.0007723
                     25,                0.74882,                0.66327,                  1.036,                0.89494,                0.71787,                0.97967,                0.80297,                0.88773,                0.56669,                 1.1248,              0.0007624,              0.0007624,              0.0007624
                     26,                 0.7301,                0.63208,                 1.0092,                0.98034,                0.72289,                0.99153,                0.83482,                 1.0219,                0.53498,                  1.248,              0.0007525,              0.0007525,              0.0007525
                     27,                0.71172,                  0.616,                 1.0206,                0.95395,                0.73343,                0.85601,                0.74012,                0.95724,                0.54781,                 1.1957,              0.0007426,              0.0007426,              0.0007426
                     28,                 0.6965,                0.62724,                 1.0061,                0.91113,                0.57343,                0.89176,                0.74872,                 1.0383,                0.90674,                 1.2353,              0.0007327,              0.0007327,              0.0007327
                     29,                 0.6882,                0.59909,                 1.0041,                0.96871,                0.70768,                0.98744,                0.78144,                0.96623,                0.50822,                  1.158,              0.0007228,              0.0007228,              0.0007228
                     30,                0.69277,                0.58017,                0.99888,                0.91595,                0.72419,                0.77496,                 0.6751,                0.97413,                0.57583,                  1.212,              0.0007129,              0.0007129,              0.0007129
                     31,                0.66437,                0.56299,                 0.9831,                 0.6901,                0.98505,                0.85805,                0.74314,                0.88569,                 0.5598,                 1.1191,               0.000703,               0.000703,               0.000703
                     32,                0.66403,                0.55883,                0.99707,                0.70614,                0.97973,                0.96218,                0.77779,                0.96048,                0.54892,                 1.1973,              0.0006931,              0.0006931,              0.0006931
                     33,                0.66056,                0.55581,                0.98594,                0.94517,                0.71031,                0.85793,                0.70349,                0.95667,                0.54387,                 1.2358,              0.0006832,              0.0006832,              0.0006832
                     34,                0.64486,                0.53782,                 0.9703,                0.83094,                0.97973,                 0.9889,                0.79592,                0.94659,                0.55628,                 1.1671,              0.0006733,              0.0006733,              0.0006733
                     35,                0.63692,                0.55413,                0.96981,                0.97157,                0.95052,                0.98528,                0.77008,                0.89613,                0.55026,                 1.1134,              0.0006634,              0.0006634,              0.0006634
                     36,                0.65141,                0.51348,                0.98535,                0.78359,                0.95536,                0.86415,                0.71954,                0.86164,                0.57383,                 1.1174,              0.0006535,              0.0006535,              0.0006535
                     37,                0.61982,                0.50846,                0.96706,                0.66484,                 0.9517,                0.85585,                0.73198,                0.90851,                0.54323,                 1.1647,              0.0006436,              0.0006436,              0.0006436
                     38,                 0.6347,                0.49566,                0.97306,                0.65864,                0.73218,                0.81618,                0.70245,                0.96874,                0.52883,                  1.227,              0.0006337,              0.0006337,              0.0006337
                     39,                0.61445,                0.48502,                 0.9626,                0.77192,                0.96215,                 0.8545,                0.71755,                 1.0018,                0.56327,                 1.2978,              0.0006238,              0.0006238,              0.0006238
                     40,                0.60393,                0.47925,                0.95884,                0.88399,                0.93494,                0.98861,                0.82219,                0.89875,                0.75794,                 1.1309,              0.0006139,              0.0006139,              0.0006139
                     41,                0.61007,                0.48097,                0.96144,                0.97106,                0.71904,                0.81457,                0.67199,                0.93521,                0.57713,                 1.1737,               0.000604,               0.000604,               0.000604
                     42,                0.60946,                0.44967,                0.96006,                0.79182,                0.92118,                0.85919,                0.71994,                0.96611,                0.59291,                  1.167,              0.0005941,              0.0005941,              0.0005941
                     43,                0.59426,                0.45175,                0.95447,                0.80364,                0.94429,                0.85193,                0.70312,                 1.0233,                0.63367,                 1.2943,              0.0005842,              0.0005842,              0.0005842
                     44,                0.59159,                0.45434,                0.94935,                0.90343,                0.88579,                0.98579,                0.81417,                0.96522,                0.57691,                 1.2028,              0.0005743,              0.0005743,              0.0005743
                     45,                 0.5829,                0.42532,                0.94949,                0.70789,                0.70977,                0.80456,                0.69109,                0.89477,                0.55416,                 1.1581,              0.0005644,              0.0005644,              0.0005644
                     46,                0.58435,                0.43787,                0.94771,                0.78557,                0.88129,                0.85524,                0.73139,                0.78386,                 0.6422,                 1.0739,              0.0005545,              0.0005545,              0.0005545
                     47,                0.59433,                0.45073,                0.95402,                0.70347,                0.92092,                0.85237,                0.72203,                0.95519,                0.53145,                 1.2935,              0.0005446,              0.0005446,              0.0005446
